,Food,Score,Nutri-Score
127,Pétales de blé et fruits rouges,20.0,c
141,Pétales de Maïs Nature,20.0,c
145,Special K - Noisettes et Amandes effilées,20.0,c
152,Pétales aux trois céréales Nature,20.0,c
155,Les Frenchips goût Poivre noir et Sel,20.0,c
161,Pétales aux lentilles nature BIO,20.0,d
182,Pétales de  Paleta PATA NEGRA,20.0,d
195,Pétales de riz au blé complet et orge fruits rouges,20.0,d
198,Le pétale des glaciers,20.0,d
203,Pétale Grana Padano,20.0,d
207,Sugar Flakes,20.0,d
210,Pétales de panais au romarin,20.0,d
216,Grana Padano 28 % En Pétales,20.0,d
225,Tete De Moine Petales,20.0,d
226,Grana Padano En Pétale 80 GR LS,20.0,d
245,Déliform Chocolat Poire,20.0,d
252,Gaufres de Liège aux oeufs frais pétales de sucre,20.0,e
260,Pétales AOSTE,20.0,e
263,Roses au Chocolat Noir,20.0,e
266,"Chocolat Lait - Amande, Pétale de céréales",20.0,e
267,Extra Fin Noir Croustillant,20.0,e
158,Special K fruits rouges,16.0,c
90,"Deliform chocolat au lait - Pétales de riz, blé complet",14.0,c
119,Déliform Nature,8.0,c
188,Pétales de mais Corn flakes,4.0,d
20,Picachoc,2.0,a
37,Corn Flakes Pétales de maïs,1.0,b
55,Corn Flakes Pétales de maïs dorés au four,1.0,b
50,Special K Classic,0.0,b
69,Pétale Choc’,0.0,c
71,Chocapic granola,0.0,c
77,Pétales de Blé goût chocolat,0.0,c
86,Flakes Fruit & Fibre,0.0,c
105,Grand Jury Cornflakes,0.0,c
111,Petales de riz et de blé complet Nature,0.0,c
130,Spécial K Nourish Chocolat et Noix de Coco,0.0,c
140,Pétales de Spiruline Crue,0.0,c
144,Chocapic (nouvelle recette),0.0,c
149,Bran'form nature,0.0,c
150,Chocapic Original,0.0,c
151,"Pétales Seigle, airelles, amandes et graines de lin",0.0,c
153,Pétales de Céréales au Goût de Chocolat,0.0,c
159,Forme Flakes Nature,0.0,c
166,Pétales de maïs sucrés,0.0,d
167,Spiruline en Petales,0.0,d
185,Pétales à la crevette,0.0,d
186,Pétale de Blé Goût Cacao,0.0,d
190,Fibra Flakes Choco,0.0,d
197,Pétales de betterave bio,0.0,d
202,Parmigiano Reggiano 28 % En Pétales,0.0,d
208,Parmigiano Reggiano Pétales,0.0,d
211,Noir cranberries céréales,0.0,d
213,Pétales Maïs glacés au sucre,0.0,d
227,Pétales Jambon Serrano,0.0,d
228,Cracker Crisps Paprika (60 % de matières grasses en moins),0.0,d
230,Barres riz & blé complet Fruits rouges,0.0,d
234,Pétales de Coco,0.0,d
237,Qrex - Frosted Flakes,0.0,d
243,Flakes maïs,0.0,d
255,Pétales de carotte au thym,0.0,e
258,Crowni Pétales de cacao,0.0,e
261,Chocolat blanc noix de coco pétales de maïs,0.0,e
264,Pétales de coco toastées auto four,0.0,e
265,Pétales chocolat au lait/caramel,0.0,e
270,Chocolat blanc coco céréales,0.0,e
125,Crousti' Pétal Sucré,-1720.0,c
83,Petales riz & ble complet aux fruits rouges,-1856.0,c
253,Mini roses des Sables,-2213.0,e
14,Corn flakes,-6512.0,a
52,"Special K nourish - myrtilles, mûres, framboises & groseilles",-6513.0,b
63,Vitelle nut clusters,-8388.0,c
102,Pétales de riz et blé complet,-8534.0,c
81,Berries & Cherries Flakes,-9011.0,c
42,Pétales riz et blé complet Monoprix,-9015.0,b
43,"Pétales riz, blé complet et orge nature",-9015.0,b
48,Petales nature,-9015.0,b
54,Fine Ligne riz et blé complet nature,-9015.0,b
142,Apple & Cinnamon Flakes,-9015.0,c
38,Pétales riz et blé complet aux fruits rouges Monoprix,-9021.0,b
56,Riz et blé complet fruits rouges,-9021.0,b
61,Pétales O Choc,-10237.0,c
103,Pétales de blé complet et de riz,-10719.0,c
3,Special Flakes-ORIGINAL,-10726.0,a
0,Crosti Petales Choc',-10734.0,a
7,Super Flakes Fruits rouges,-10734.0,a
8,Petales de sarrasin,-10734.0,a
13,Cool pétales,-10734.0,a
15,Pétales de Sarrasin,-10734.0,a
22,Pétales 5 céréales,-10734.0,a
29,Special K aux 3 céréales complètes avec une touche de miel,-10734.0,a
31,Life Nature,-10734.0,a
36,Pétales aux trois céréales fruits rouges,-10735.0,b
39,"Pétales de riz, blé complet & orge complète",-10735.0,b
49,Pétales de maïs,-10735.0,b
26,Love Fibre,-10738.0,a
33,Cornflakes,-10739.0,b
34,Muesli Bio,-10739.0,b
40,"Pétales de riz, blé complet et orge",-10739.0,b
41,Forme flakes pétales de riz et de blé aux fruits rouges,-10739.0,b
44,"Céréales Pétales de riz, blé complet et orge",-10739.0,b
45,"Nourish Pétales & pépites - airelles, pommes et graines de courge",-10739.0,b
51,Pétales de quinoa au cacao,-10739.0,b
53,Forme et fruits rouges,-10739.0,b
57,Pétales Choc',-10739.0,b
59,Corn flakes cacao,-10739.0,b
114,Chabrior Forme & Nature,-10739.0,c
217,Pétales de maïs glacés au sucre,-10744.0,d
68,Pétales multicereales cranberry et coco,-10755.0,c
108,"Pétales de riz, blé complet et orge nature",-10792.0,c
118,Pétales Riz & blé complet Nature,-10907.0,c
100,Pétales de riz et blé complet enrobés de chocolat,-12630.0,c
146,Special K Pêche Abricot,-12640.0,c
58,Spécial Flakes - Pétales de Riz et blé complet,-12650.0,b
129,Pétales aux fruits rouges riz et blé complet,-12656.0,c
25,Corn Flakes Nature,-14468.0,a
35,Pétales de blé chocolat,-14469.0,b
1,Pétales de sarrasin,-14946.0,a
32,Muesli Croustillant Myrtilles & Baies de Goji,-14947.0,b
47,Pétales 3 céréales,-14947.0,b
116,Bran' form fruits secs,-15063.0,c
241,Barres céréales pétales chocolatées talon lait,-16218.0,d
123,Crousty Cao BIO,-17315.0,c
74,Spécial K feuilles de chocolat noir,-19127.0,c
62,Special K feuilles de Chocolat Noir (Format Maxi),-19143.0,c
115,Special K Chocolat Noir,-19143.0,c
193,Pétales Chocolat au Lait,-19189.0,d
223,Pétales de Céréales & Chocolat,-19189.0,d
224,Pétales 3 céréales chocolat au lait,-19189.0,d
138,Pétale de blé au goût de chocolat,-24743.0,c
156,Pétales de Blé au Chocolat,-27138.0,c
79,American Style Chicken Strips with Curry Dip,-36074.0,c
229,Pétales Sucrés Céréales et Lait,-85018.0,d
214,Choco Corn Flakes,-297117.0,d
