Old,New,productname,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,nutrition-score-fr_100g,new_scores,new_nutri_grades,utility_1,utility_2,utility_3,utility_4,utility_5,utility_6
3334,729,Pommes Croquettes,b,733.0,0.9,0.5,3.1,2.6,0.38,2.0,15.714286,b,3.047619,1.4761905,2.4285714,1.952381,5.2380952,1.5714286
4330,730,La Puree a  la Vitelotte,b,1469.0,0.4,3.0,6.5,5.7,1.72,2.0,15.190476,b,1.3809524,3.047619,2.4285714,1.952381,6.3809524,0.0
4599,731,Riz naturellement parfume,a,1443.0,0.2,0.2,1.0,7.4,0.0,-1.0,16.380952,b,1.3809524,3.047619,2.4285714,0.0,6.3809524,3.1428571
2741,732,Tortilla de patata,c,699.0,1.6,1.0,0.0,6.0,0.4,4.0,14.809524,b,3.047619,1.4761905,2.4285714,0.0,6.3809524,1.4761905
2905,733,Viande des Grisons,d,812.0,1.4,0.5,0.5,40.0,1.76,13.0,13.285714,b,2.4761905,1.4761905,2.4285714,0.0,6.9047619,0.0
1710,734,Pomme,d,144.0,0.0,8.2,0.0,0.0,0.0,7.0,10.52381,c,3.047619,3.047619,1.2857143,0.0,0.0,3.1428571
80,735,Fleurette,d,1202.0,20.0,3.2,0.0,2.2,0.04,13.0,13.142857,b,2.3809524,0.0,2.4285714,0.0,5.1904762,3.1428571
3348,736,Carottes En rondelles,a,146.0,0.0,6.5,3.2,0.5,0.04,-7.0,16.380952,b,3.047619,3.047619,1.3809524,1.952381,3.8095238,3.1428571
5183,737,Castelnaudary,d,1079.0,6.3,0.0,0.0,14.0,0.548,15.0,12.571429,c,2.3809524,0.42857143,2.4285714,0.0,6.9047619,0.42857143
2717,738,Blanc nougatine et pistache,e,2410.0,19.0,53.0,0.0,7.1,0.072,27.0,9.0,c,0.0,0.0,0.0,0.0,6.3809524,2.6190476
4988,739,Huile de tournesol,d,3766.0,11.0,0.0,0.0,0.0,0.0,11.0,6.0,d,0.0,0.42857143,2.4285714,0.0,0.0,3.1428571
5460,740,Tuiles aux amandes,e,2001.0,8.0,43.0,2.6,7.3,0.084,19.0,11.571429,c,1.047619,0.42857143,0.0,1.0952381,6.3809524,2.6190476
1388,741,Mini marshmallows,d,1412.0,0.0,71.0,0.0,3.6,0.008,14.0,13.428571,b,1.3809524,3.047619,0.0,0.0,5.8571429,3.1428571
892,742,Tarama,d,2337.0,4.4,0.5,0.0,6.0,0.6,16.0,9.6666667,c,1.110223e-15,0.42857143,2.4285714,0.0,6.3809524,0.42857143
2669,743,Salade de pomme de terre,c,2201.0,0.8,2.3,2.6,1.9,0.116,4.0,13.619048,b,0.0,2.2857143,2.4285714,1.0952381,5.1904762,2.6190476
3438,744,Mouline aux  8 Legumes,b,147.0,0.8,1.5,1.2,1.1,0.252,0.0,14.190476,b,3.047619,2.2857143,2.4285714,0.0,3.8095238,2.6190476
